Word,Bigram,Conc.M,Conc.SD,Unknown,Total,Percent_known,SUBTLEX,Dom_Pos
statistics,0,3.39,1.47,0,28,1.00,167,Noun
statue,0,4.93,0.26,0,29,1.00,540,Noun
statuesque,0,2.38,1.15,1,30,0.97,9,Adjective
statuette,0,4.54,0.98,3,27,0.89,4,Noun
stature,0,2.32,1.09,0,28,1.00,85,Noun
status,0,2.24,1.43,0,29,1.00,750,Noun
status quo,1,2.38,1.27,1,27,0.96,0,Err:512
statute,0,3.88,1.51,1,27,0.96,97,Noun
statutory,0,1.75,1.04,0,28,1.00,47,Adjective
staunch,0,1.9,0.94,1,30,0.97,18,Adjective
staunchness,0,1.5,0.66,0,24,1.00,0,Err:512
stay,0,2.15,1.35,0,26,1.00,26298,Verb
stay away,1,3.14,1.38,1,29,0.97,0,Err:512
stay off,1,2.5,1.38,1,25,0.96,0,Err:512
stay over,1,2.82,1.31,0,28,1.00,0,Err:512
stay put,1,2.86,1.41,0,28,1.00,0,Err:512
stayed,0,3,1.57,1,27,0.96,1668,Verb
stays,0,2.86,1.41,0,29,1.00,977,Verb
stead,0,2.76,1.54,1,26,0.96,54,Noun
steadfast,0,1.92,0.91,1,26,0.96,22,Adjective
steadfastly,0,1.92,1.29,1,27,0.96,4,Adverb
steadfastness,0,1.36,0.78,0,28,1.00,8,Noun
steadier,0,2.21,1.4,0,29,1.00,6,Adjective
steadily,0,2.37,1.11,0,27,1.00,60,Adverb
steadiness,0,2.65,1.4,1,24,0.96,3,Noun
steady,0,2.25,1.08,1,29,0.97,1158,Adjective
steadying,0,2.57,1.2,1,29,0.97,4,Adjective
steak,0,4.96,0.19,0,28,1.00,828,Noun
steak knife,1,5,0,0,28,1.00,0,Err:512
steakhouse,0,4.79,0.41,1,25,0.96,21,Noun
steal,0,3.84,1.13,0,31,1.00,2720,Verb
stealer,0,3.63,1.5,1,28,0.96,12,Noun
stealing,0,3.28,1.25,0,29,1.00,1265,Verb
stealth,0,2.76,1.27,0,29,1.00,142,Noun
stealth bomber,1,4.36,1.31,0,28,1.00,0,Err:512
stealthily,0,2.5,1.35,2,26,0.92,6,Adverb
stealthy,0,2.25,1.29,2,26,0.92,15,Adjective
steam,0,4.5,0.79,0,28,1.00,686,Noun
steam bath,1,4.76,0.52,0,25,1.00,0,Err:512
steam engine,1,4.96,0.2,1,27,0.96,0,Err:512
steamboat,0,4.9,0.31,0,30,1.00,26,Noun
steamer,0,4.11,1.28,0,27,1.00,53,Noun
steamily,0,2.3,1.29,3,26,0.88,0,Err:512
steaminess,0,3.54,1.3,0,26,1.00,0,Err:512
steaming,0,3.79,1.23,0,28,1.00,101,Adjective
steamroll,0,3.61,1.37,1,29,0.97,4,Verb
steamroller,0,4.79,0.77,0,29,1.00,12,Noun
steamship,0,4.63,0.88,0,27,1.00,24,Noun
steamy,0,3.63,1.04,0,27,1.00,46,Adjective
steed,0,4.4,1,1,31,0.97,130,Name
